City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lautoka,-17.6167,177.4667,27.92,57,40,6.69,FJ,1691038376
1,qaqortoq,60.7167,-46.0333,5.49,89,93,2.35,GL,1691038376
2,rice lake,45.5061,-91.7382,22.99,100,0,0.0,US,1691038224
3,hermanus,-34.4187,19.2345,13.78,46,96,4.64,ZA,1691038377
4,ishigaki,24.3448,124.1572,26.07,94,75,12.35,JP,1691038378
5,tazacorte,28.629,-17.9293,23.54,73,100,8.23,ES,1691038379
6,grytviken,-54.2811,-36.5092,-0.48,95,100,1.97,GS,1691038379
7,bilibino,68.0546,166.4372,10.78,94,100,2.51,RU,1691038380
8,reggane,26.7158,0.1714,37.28,10,57,7.59,DZ,1691038380
9,tiksi,71.6872,128.8694,5.54,89,100,6.28,RU,1691038226
10,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,77,75,1.0,RU,1691038382
11,coquimbo,-29.9533,-71.3436,14.85,94,100,2.57,CL,1691038382
12,port-aux-francais,-49.35,70.2167,2.16,99,100,10.95,TF,1691038383
13,margaret river,-33.95,115.0667,12.37,57,90,3.71,AU,1691038383
14,olonkinbyen,70.9221,-8.7187,6.15,82,100,3.8,SJ,1691038384
15,rio grande,-32.035,-52.0986,17.19,94,42,8.5,BR,1691038384
16,antofagasta,-23.65,-70.4,17.6,78,0,0.74,CL,1691038332
17,weiser,44.251,-116.9693,29.11,60,98,2.31,US,1691038124
18,kone,-21.0595,164.8658,20.3,66,99,3.93,NC,1691038386
19,gazli,40.1333,63.45,35.21,11,0,7.41,UZ,1691038387
20,bethel,41.3712,-73.414,20.36,79,0,0.0,US,1691038141
21,yuzhno-kurilsk,44.0306,145.8556,21.69,82,100,5.44,RU,1691038388
22,vadso,70.0744,29.7487,21.49,77,0,6.17,NO,1691038388
23,adamstown,-25.066,-130.1015,21.44,75,32,9.68,PN,1691038389
24,broome,42.2506,-75.833,18.71,75,32,2.16,US,1691038390
25,albany,42.6001,-73.9662,17.23,81,31,0.45,US,1691037727
26,port alfred,-33.5906,26.891,16.1,41,2,4.34,ZA,1691038391
27,mount pearl,47.5166,-52.7813,16.19,93,100,5.14,CA,1691038392
28,agustin codazzi,10.0341,-73.2361,23.22,82,3,2.11,CO,1691038392
29,harper,4.375,-7.7169,24.04,85,100,3.85,LR,1691038393
30,waitangi,-43.9535,-176.5597,6.57,64,100,19.48,NZ,1691038394
31,vilyuchinsk,52.9306,158.4028,17.15,81,90,1.04,RU,1691038394
32,savanna-la-mar,18.219,-78.1332,27.97,86,88,1.41,JM,1691038395
33,kozhevnikovo,56.2589,83.9714,27.96,48,100,1.78,RU,1691038395
34,weinzierl bei krems,48.4,15.6,21.01,80,86,2.97,AT,1691038396
35,mossel bay,-34.1831,22.146,22.96,41,44,4.05,ZA,1691038397
36,eyl,7.9803,49.8164,28.81,46,99,12.86,SO,1691038397
37,yellowknife,62.456,-114.3525,18.29,59,75,3.09,CA,1691038398
38,invercargill,-46.4,168.35,10.57,88,88,4.02,NZ,1691038243
39,alofi,-19.0595,-169.9187,19.94,94,100,5.66,NU,1691038399
40,tolanaro,-25.0319,46.9987,19.04,77,75,4.12,MG,1691038400
41,ribeira grande,38.5167,-28.7,23.21,87,100,6.26,PT,1691038400
42,lazaro cardenas,17.9583,-102.2,27.39,84,100,0.66,MX,1691038401
43,yamada,39.4667,141.95,28.56,72,40,3.7,JP,1691038401
44,belokurikha,51.9959,84.9896,27.24,47,100,1.51,RU,1691038402
45,al mindak,20.1588,41.2834,22.78,31,12,1.04,SA,1691038403
46,kapuskasing,49.4169,-82.4331,15.0,100,100,1.54,CA,1691038403
47,kodiak,57.79,-152.4072,11.73,87,0,3.09,US,1691038139
48,hadibu,12.65,54.0333,27.37,73,38,13.12,YE,1691038405
49,clodomira,-27.5744,-64.1311,23.45,42,1,7.7,AR,1691038405
50,edinburgh of the seven seas,-37.0676,-12.3116,13.91,83,96,17.53,SH,1691038406
51,kristiansund,63.1115,7.732,14.36,88,75,1.54,NO,1691038406
52,puerto natales,-51.7236,-72.4875,4.12,93,100,7.69,CL,1691038407
53,walvis bay,-22.9575,14.5053,11.72,93,100,0.51,NA,1691038408
54,fort bragg,35.139,-79.006,22.68,78,0,0.0,US,1691038278
55,benghazi,32.1167,20.0667,27.42,60,0,1.17,LY,1691038409
56,zafarwal,32.3463,74.8999,31.46,57,46,2.61,PK,1691038409
57,teguise,29.0605,-13.564,21.12,78,0,8.75,ES,1691038410
58,carentan,49.3031,-1.2481,16.82,94,92,3.85,FR,1691038410
59,plettenberg bay,-34.0527,23.3716,14.27,48,27,4.16,ZA,1691038411
60,chaplynka,46.3651,33.5403,23.69,69,91,2.96,UA,1691038412
